url,bbox
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AT_MajorParksForests.xml', '', '', '', '', '', ","-85.537349,30.539325,-67.393183,46.672840"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=AT_ShelterLoactions.xml', '', '', '', '', '', ","-84.199846,34.617557,-68.995692,45.881650"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batBigBrown.xml', '', '', '', '', '', ","-128.724014,14.546939,-65.662254,56.558960"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batEasternPipistrelle.xml', '', '', '', '', '', ","-104.505287,15.042859,-63.027798,47.479694"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batEasternRed.xml', '', '', '', '', '', ","-114.390327,24.718950,-60.943497,57.493591"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batEasternSmallfootedMyotis.xml', '', '', '', '', '', ","-95.103683,33.667778,-67.783089,47.821964"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batEveningBat.xml', '', '', '', '', '', ","-103.298225,21.965069,-74.551903,42.820984"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batHoary.xml', '', '', '', '', '', ","-160.236069,14.546939,-63.237411,56.520485"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batIndianaMyotis.xml', '', '', '', '', '', ","-95.704277,33.217358,-71.063049,44.940289"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batLittleBrownMyotis.xml', '', '', '', '', '', ","-159.009766,17.043730,-52.614578,66.754677"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batNorthernMyotis.xml', '', '', '', '', '', ","-122.293022,33.748489,-57.487564,59.797775"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batRafinesquBigeared.xml', '', '', '', '', '', ","-95.715332,26.013483,-75.459503,38.978085"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batSeminole.xml', '', '', '', '', '', ","-97.157585,25.333305,-75.459503,36.970539"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batSilverhaired.xml', '', '', '', '', '', ","-134.430405,29.071190,-65.464493,58.952316"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batSoutheasternMyotis.xml', '', '', '', '', '', ","-96.368172,27.266016,-75.459503,39.274239"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=batTownsendBigeared.xml', '', '', '', '', '', ","-125.333229,16.836159,-78.669533,52.356689"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Baywide_LandCover.xml', '', '', '', '', '', ","-81.146584,36.212922,-73.273577,44.778215"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Baywide_LandCover.xml', '', '', '', '', '', ","-81.146584,36.212922,-73.273577,44.778215"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Baywide_LandCover.xml', '', '', '', '', '', ","-81.146584,36.212922,-73.273577,44.778215"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Baywide_LandCover.xml', '', '', '', '', '', ","-81.146584,36.212922,-73.273577,44.778215"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Baywide_LandCover.xml', '', '', '', '', '', ","-81.146584,36.212922,-73.273577,44.778215"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=Baywide_LandCover.xml', '', '', '', '', '', ","-81.146584,36.212922,-73.273577,44.778215"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BBA_appGrid.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BBA_appRegions.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BBA_appSurveyPoints.xml', '', '', '', '', '', ",",,,"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BCRA_WaterServiceArea_10_yr_2019.xml', '', '', '', '', '', ","-75.359420,41.003191,-75.267948,41.105303"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BCRA_WaterServiceArea_Present_2019.xml', '', '', '', '', '', ","-75.401944,40.961502,-75.106530,41.109886"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BedfordCountyParcels202105.xml', '', '', '', '', '', ","-78.816075,39.719195,-78.132813,40.328391"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=bedrock_SRBC.xml', '', '', '', '', '', ","-78.982832,39.524844,-74.561829,43.000893"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BeneficialLandUses2022_10.xml', '', '', '', '', '', ","-80.493955,39.686462,-75.080039,42.046992"
"https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=BestFishingWaters_Lakes202205.xml', '', '', '', '', '', ","-80.519250,39.743440,-74.953620,42.254430"
