url,Title,JPEG,PDF,Rights,DOI
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28653', '', '', '', '', '', '', ''","1874 Sanborn Insurance Diagram of Trenton, NJ (Index)",https://rucore.libraries.rutgers.edu/rutgers-lib/28653/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28653/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3DF6R4G
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28617', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 20 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28617/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28617/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3RJ4JFD
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28620', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 23 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28620/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28620/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T34Q7TX8
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28621', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 24 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28621/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28621/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T38G8KMJ
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28622', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 25 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28622/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28622/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3D79BB8
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28623', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 26 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28623/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28623/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3J10330
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28626', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 29 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28626/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28626/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3X92B65
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28627', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 30 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28627/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28627/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T31Z44C5
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28628', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 31 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28628/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28628/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T35Q4W1M
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28629', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 32 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28629/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28629/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T39G5MRX
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28630', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 33 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28630/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28630/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3F76CH3
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28632', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 35 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28632/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28632/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3PR7VX0
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28635', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 38 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28635/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28635/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T32Z15G3
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28636', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 39 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28636/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28636/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T36Q1X6F
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28637', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 40 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28637/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28637/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3BG2NZ6
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28639', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 42 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28639/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28639/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3M045C6
"'https://rucore.libraries.rutgers.edu/rutgers-lib/28641', '', '', '', '', '', '', ''","1930 Real Estate Plat-Book of the City of Trenton and Borough of Princeton, Mercer County, New Jersey (Plate 44 of 48, Trenton)",https://rucore.libraries.rutgers.edu/rutgers-lib/28641/JPEG/1/play/,https://rucore.libraries.rutgers.edu/rutgers-lib/28641/PDF/1/play/,"This resource may be copyright protected. You may make use of this resource, with proper attribution, for educational and other non-commercial uses only. Contact the contributing organization to obtain permission for reproduction, publication, and commercial use.",https://doi.org/doi:10.7282/T3VD6ZCS
