Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,ISO Topic Categories,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Resource Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,ID,Identifier,Provider,Code,Member Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child Record,File Size
,Lakes,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3289,39.6334,-85.9369,39.9275",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_171,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_171.zip,,,,322ee79b35f748869974ec661bd04bbc_171,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_171,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,2.2177 MB
,Railroad,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3290,39.6340,-85.9371,39.9273",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_25,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_25.zip,,,,322ee79b35f748869974ec661bd04bbc_25,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_25,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.0768 MB
,Railroad,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3290,39.6340,-85.9371,39.9273",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_103,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_103.zip,,,,322ee79b35f748869974ec661bd04bbc_103,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_103,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.0768 MB
,Lakes,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3289,39.6334,-85.9369,39.9275",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_69,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_69.zip,,,,322ee79b35f748869974ec661bd04bbc_69,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_69,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,2.2177 MB
,Lakes,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3289,39.6334,-85.9369,39.9275",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_89,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_89.zip,,,,322ee79b35f748869974ec661bd04bbc_89,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_89,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,2.2177 MB
,Lakes,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3289,39.6334,-85.9369,39.9275",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_109,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_109.zip,,,,322ee79b35f748869974ec661bd04bbc_109,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_109,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,2.2177 MB
,Railroad,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3290,39.6340,-85.9371,39.9273",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_123,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_123.zip,,,,322ee79b35f748869974ec661bd04bbc_123,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_123,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.0768 MB
,Lakes,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3289,39.6334,-85.9369,39.9275",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_129,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_129.zip,,,,322ee79b35f748869974ec661bd04bbc_129,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_129,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,2.2177 MB
,Railroad,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3290,39.6340,-85.9371,39.9273",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_144,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_144.zip,,,,322ee79b35f748869974ec661bd04bbc_144,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_144,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.0768 MB
,Buildings,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3290,39.6324,-85.9369,39.9277",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_15,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_15.zip,,,,322ee79b35f748869974ec661bd04bbc_15,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_15,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,5.1103 MB
,Streams,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3291,39.6322,-85.9370,39.9278",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_31,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_31.zip,,,,322ee79b35f748869974ec661bd04bbc_31,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_31,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,4.2447 MB
,Railroad,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3290,39.6340,-85.9371,39.9273",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_63,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_63.zip,,,,322ee79b35f748869974ec661bd04bbc_63,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_63,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.0768 MB
,Roadways,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3291,39.6322,-85.9369,39.9278",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_9,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_9.zip,,,,322ee79b35f748869974ec661bd04bbc_9,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_9,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,13.313 MB
,Railroad,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3290,39.6340,-85.9371,39.9273",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_165,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_165.zip,,,,322ee79b35f748869974ec661bd04bbc_165,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_165,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.0768 MB
,Railroad,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3290,39.6340,-85.9371,39.9273",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_83,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_83.zip,,,,322ee79b35f748869974ec661bd04bbc_83,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_83,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.0768 MB
,Airfields,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Spring Hill, Indiana|Warren Park, Indiana|Clermont, Indiana|Hendricks County, Indiana|Speedway, Indiana|Marion County, Indiana|Indiana","-86.3254,39.6990,-86.0087,39.8375",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_136,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_136.zip,,,,322ee79b35f748869974ec661bd04bbc_136,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_136,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.5093 MB
,Parks,"City of Indianapolis & Marion County, IN Topographic Base Map",eng,City of Indianapolis and Marion County - IndyGIS,"City of Indianapolis and Marion County, Indiana",Datasets,,IndyBasemaps,2019-09-24T16:01:21.000Z,,,"Wynnedale, Indiana|Williams Creek, Indiana|Spring Hill, Indiana|Meridian Hills, Indiana|Warren Park, Indiana|Clermont, Indiana|Southport, Indiana|Hendricks County, Indiana|Rocky Ripple, Indiana|Speedway, Indiana|Homecroft, Indiana|Marion County, Indiana|Crows Nest, Indiana|North Crows Nest, Indiana|Beech Grove, Indiana|Indiana","-86.3285,39.6335,-85.9474,39.9277",Vector data,Shapefile,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_20,https://data.indy.gov/datasets/322ee79b35f748869974ec661bd04bbc_20.zip,,,,322ee79b35f748869974ec661bd04bbc_20,https://hub.arcgis.com/datasets/322ee79b35f748869974ec661bd04bbc_20,Indiana University,01c-02,01c-02,Active,ArcGIS Hub,2021-09-27,,Public,False,False,0.6754 MB
